x   y   freq
1   1   0
1   2   0
1   3   0.46341464
1   4   0
1   5   0
1   6   0
1   7   0
1   8   0
1   9   0
1   10  0.073170729
1   11  0
1   12  0
1   13  0
1   14  0
1   15  0
1   16  0
1   17  0
1   18  0
1   19  0.024390243
1   20  0
1   21  0
1   22  0
1   23  0
1   24  0
1   25  0.024390243
1   26  0
1   27  0
1   28  0
1   29  0
1   30  0
1   31  0
1   32  0
1   33  0
1   34  0
1   35  0
1   36  0
1   37  0
1   38  0
1   39  0
1   40  0
1   41  0
1   42  0.024390243
1   43  0
1   44  0.024390243
1   45  0
1   46  0
1   47  0.024390243
1   48  0
1   49  0
1   50  0
1   51  0.097560972
1   52  0.048780486
1   53  0
1   54  0
1   55  0
1   56  0
1   57  0.024390243
1   58  0.14634146
1   59  0
1   60  0
1   61  0
1   62  0
1   63  0
1   64  0.024390243
1   65  0
1   66  0
1   67  0
1   68  0
1   69  0
1   70  0
2   1   0
2   2   0
2   3   0
2   4   0
2   5   0
2   6   0
2   7   0
2   8   0.48571429
2   9   0
2   10  0
2   11  0
2   12  0
2   13  0
2   14  0
2   15  0
2   16  0
2   17  0
2   18  0
2   19  0
2   20  0
2   21  0
2   22  0
2   23  0
2   24  0
2   25  0
2   26  0
2   27  0
2   28  0
2   29  0
2   30  0
2   31  0
2   32  0
2   33  0
2   34  0
2   35  0
2   36  0
2   37  0
2   38  0
2   39  0
2   40  0
2   41  0
2   42  0
2   43  0
2   44  0
2   45  0
2   46  0
2   47  0
2   48  0
2   49  0
2   50  0
2   51  0
2   52  0
2   53  0
2   54  0
2   55  0
2   56  0.085714288
2   57  0
2   58  0
2   59  0.028571429
2   60  0
2   61  0
2   62  0
2   63  0
2   64  0.28571430
2   65  0
2   66  0.028571429
2   67  0.085714288
2   68  0
2   69  0
2   70  0
3   1   0
3   2   0
3   3   0.10000000
3   4   0
3   5   0
3   6   0
3   7   0
3   8   0
3   9   0
3   10  0.46666667
3   11  0
3   12  0
3   13  0
3   14  0
3   15  0
3   16  0
3   17  0
3   18  0
3   19  0
3   20  0
3   21  0
3   22  0
3   23  0
3   24  0
3   25  0
3   26  0
3   27  0
3   28  0
3   29  0
3   30  0
3   31  0
3   32  0
3   33  0
3   34  0
3   35  0
3   36  0.066666670
3   37  0
3   38  0
3   39  0
3   40  0
3   41  0.10000000
3   42  0
3   43  0
3   44  0
3   45  0
3   46  0
3   47  0
3   48  0
3   49  0
3   50  0.066666670
3   51  0
3   52  0
3   53  0
3   54  0
3   55  0
3   56  0
3   57  0
3   58  0
3   59  0
3   60  0
3   61  0.10000000
3   62  0
3   63  0
3   64  0
3   65  0
3   66  0
3   67  0
3   68  0
3   69  0.066666670
3   70  0.033333335
4   1   0.027777778
4   2   0.083333336
4   3   0
4   4   0
4   5   0
4   6   0
4   7   0
4   8   0
4   9   0.055555556
4   10  0
4   11  0
4   12  0
4   13  0
4   14  0.55555558
4   15  0
4   16  0
4   17  0
4   18  0
4   19  0
4   20  0
4   21  0
4   22  0
4   23  0
4   24  0
4   25  0
4   26  0.027777778
4   27  0
4   28  0
4   29  0
4   30  0
4   31  0
4   32  0
4   33  0
4   34  0
4   35  0
4   36  0
4   37  0
4   38  0
4   39  0
4   40  0
4   41  0
4   42  0
4   43  0
4   44  0
4   45  0
4   46  0.027777778
4   47  0
4   48  0
4   49  0
4   50  0
4   51  0
4   52  0
4   53  0
4   54  0.22222222
4   55  0
4   56  0
4   57  0
4   58  0
4   59  0
4   60  0
4   61  0
4   62  0
4   63  0
4   64  0
4   65  0
4   66  0
4   67  0
4   68  0
4   69  0
4   70  0
5   1   0
5   2   0
5   3   0
5   4   0
5   5   0
5   6   0
5   7   0
5   8   0
5   9   0
5   10  0
5   11  0
5   12  0
5   13  0
5   14  0
5   15  0
5   16  0
5   17  0.63888890
5   18  0.11111111
5   19  0
5   20  0
5   21  0
5   22  0.083333336
5   23  0
5   24  0
5   25  0
5   26  0
5   27  0
5   28  0
5   29  0
5   30  0
5   31  0
5   32  0.027777778
5   33  0
5   34  0
5   35  0
5   36  0
5   37  0
5   38  0
5   39  0.027777778
5   40  0
5   41  0
5   42  0
5   43  0
5   44  0
5   45  0
5   46  0
5   47  0
5   48  0
5   49  0
5   50  0
5   51  0
5   52  0
5   53  0
5   54  0
5   55  0
5   56  0
5   57  0.11111111
5   58  0
5   59  0
5   60  0
5   61  0
5   62  0
5   63  0
5   64  0
5   65  0
5   66  0
5   67  0
5   68  0
5   69  0
5   70  0
6   1   0
6   2   0
6   3   0
6   4   0
6   5   0
6   6   0
6   7   0
6   8   0
6   9   0
6   10  0
6   11  0
6   12  0
6   13  0
6   14  0
6   15  0
6   16  0
6   17  0.26530612
6   18  0.36734694
6   19  0
6   20  0
6   21  0.24489796
6   22  0
6   23  0
6   24  0
6   25  0
6   26  0
6   27  0
6   28  0.040816326
6   29  0
6   30  0
6   31  0
6   32  0
6   33  0
6   34  0
6   35  0
6   36  0
6   37  0
6   38  0
6   39  0
6   40  0
6   41  0
6   42  0
6   43  0
6   44  0
6   45  0
6   46  0
6   47  0
6   48  0
6   49  0
6   50  0
6   51  0
6   52  0
6   53  0
6   54  0
6   55  0
6   56  0
6   57  0
6   58  0
6   59  0
6   60  0.020408163
6   61  0
6   62  0
6   63  0
6   64  0
6   65  0.061224490
6   66  0
6   67  0
6   68  0
6   69  0
6   70  0
7   1   0
7   2   0
7   3   0
7   4   0
7   5   0
7   6   0
7   7   0
7   8   0
7   9   0
7   10  0
7   11  0
7   12  0
7   13  0.43243244
7   14  0
7   15  0
7   16  0
7   17  0
7   18  0
7   19  0.027027028
7   20  0
7   21  0
7   22  0.027027028
7   23  0
7   24  0.48648649
7   25  0
7   26  0
7   27  0
7   28  0.027027028
7   29  0
7   30  0
7   31  0
7   32  0
7   33  0
7   34  0
7   35  0
7   36  0
7   37  0
7   38  0
7   39  0
7   40  0
7   41  0
7   42  0
7   43  0
7   44  0
7   45  0
7   46  0
7   47  0
7   48  0
7   49  0
7   50  0
7   51  0
7   52  0
7   53  0
7   54  0
7   55  0
7   56  0
7   57  0
7   58  0
7   59  0
7   60  0
7   61  0
7   62  0
7   63  0
7   64  0
7   65  0
7   66  0
7   67  0
7   68  0
7   69  0
7   70  0
8   1   0
8   2   0
8   3   0.030303031
8   4   0
8   5   0
8   6   0
8   7   0
8   8   0
8   9   0
8   10  0
8   11  0
8   12  0
8   13  0
8   14  0.090909094
8   15  0
8   16  0
8   17  0
8   18  0
8   19  0
8   20  0
8   21  0
8   22  0
8   23  0
8   24  0
8   25  0
8   26  0.090909094
8   27  0.45454547
8   28  0
8   29  0
8   30  0
8   31  0.24242425
8   32  0
8   33  0
8   34  0
8   35  0
8   36  0
8   37  0
8   38  0
8   39  0.030303031
8   40  0
8   41  0.060606062
8   42  0
8   43  0
8   44  0
8   45  0
8   46  0
8   47  0
8   48  0
8   49  0
8   50  0
8   51  0
8   52  0
8   53  0
8   54  0
8   55  0
8   56  0
8   57  0
8   58  0
8   59  0
8   60  0
8   61  0
8   62  0
8   63  0
8   64  0
8   65  0
8   66  0
8   67  0
8   68  0
8   69  0
8   70  0
9   1   0
9   2   0
9   3   0
9   4   0.035714287
9   5   0
9   6   0
9   7   0
9   8   0
9   9   0
9   10  0
9   11  0.17857143
9   12  0
9   13  0
9   14  0
9   15  0
9   16  0
9   17  0
9   18  0
9   19  0
9   20  0
9   21  0
9   22  0
9   23  0
9   24  0
9   25  0
9   26  0
9   27  0
9   28  0
9   29  0.57142860
9   30  0.21428572
9   31  0
9   32  0
9   33  0
9   34  0
9   35  0
9   36  0
9   37  0
9   38  0
9   39  0
9   40  0
9   41  0
9   42  0
9   43  0
9   44  0
9   45  0
9   46  0
9   47  0
9   48  0
9   49  0
9   50  0
9   51  0
9   52  0
9   53  0
9   54  0
9   55  0
9   56  0
9   57  0
9   58  0
9   59  0
9   60  0
9   61  0
9   62  0
9   63  0
9   64  0
9   65  0
9   66  0
9   67  0
9   68  0
9   69  0
9   70  0
10  1   0
10  2   0
10  3   0
10  4   0
10  5   0
10  6   0
10  7   0
10  8   0.029411765
10  9   0
10  10  0.14705883
10  11  0.058823530
10  12  0
10  13  0
10  14  0
10  15  0
10  16  0.088235296
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0.029411765
10  23  0
10  24  0
10  25  0.088235296
10  26  0
10  27  0.029411765
10  28  0
10  29  0.029411765
10  30  0.23529412
10  31  0
10  32  0
10  33  0
10  34  0
10  35  0
10  36  0
10  37  0
10  38  0
10  39  0
10  40  0.029411765
10  41  0.058823530
10  42  0
10  43  0.029411765
10  44  0
10  45  0
10  46  0
10  47  0
10  48  0
10  49  0
10  50  0.11764706
10  51  0
10  52  0
10  53  0
10  54  0
10  55  0
10  56  0
10  57  0
10  58  0
10  59  0
10  60  0
10  61  0
10  62  0.029411765
10  63  0
10  64  0
10  65  0
10  66  0
10  67  0
10  68  0
10  69  0
10  70  0
11  1   0
11  2   0
11  3   0
11  4   0
11  5   0
11  6   0
11  7   0
11  8   0
11  9   0
11  10  0
11  11  0
11  12  0
11  13  0
11  14  0
11  15  0
11  16  0
11  17  0
11  18  0
11  19  0
11  20  0
11  21  0
11  22  0
11  23  0
11  24  0
11  25  0
11  26  0
11  27  0
11  28  0
11  29  0
11  30  0
11  31  0
11  32  0.51351351
11  33  0
11  34  0
11  35  0.35135135
11  36  0
11  37  0
11  38  0
11  39  0
11  40  0
11  41  0
11  42  0
11  43  0
11  44  0
11  45  0
11  46  0
11  47  0
11  48  0.054054055
11  49  0
11  50  0
11  51  0
11  52  0
11  53  0
11  54  0
11  55  0
11  56  0
11  57  0
11  58  0
11  59  0
11  60  0
11  61  0
11  62  0
11  63  0
11  64  0
11  65  0
11  66  0
11  67  0.081081077
11  68  0
11  69  0
11  70  0
12  1   0
12  2   0
12  3   0.18918920
12  4   0
12  5   0
12  6   0
12  7   0
12  8   0
12  9   0
12  10  0
12  11  0.16216215
12  12  0
12  13  0
12  14  0
12  15  0.027027028
12  16  0
12  17  0
12  18  0
12  19  0
12  20  0
12  21  0
12  22  0
12  23  0
12  24  0
12  25  0.081081077
12  26  0
12  27  0
12  28  0
12  29  0
12  30  0
12  31  0
12  32  0
12  33  0
12  34  0
12  35  0
12  36  0
12  37  0.37837839
12  38  0.13513513
12  39  0
12  40  0
12  41  0
12  42  0
12  43  0
12  44  0
12  45  0
12  46  0
12  47  0
12  48  0
12  49  0.027027028
12  50  0
12  51  0
12  52  0
12  53  0
12  54  0
12  55  0
12  56  0
12  57  0
12  58  0
