Stream,      S,       P,       twonets,  twoloss,   SP,      SPO
Spatial,     0.7942,  0.7382,  0.8016,   0.7915,    0.8046,   0.7971
Temporal,    0.8527,  0.8702,  0.8784,         ,    0.8763,
